,Ozone_ppb,Month
1741,32.853681564245804,2014-10-08
1742,31.635831460674144,2014-10-09
1743,32.44164606741573,2014-10-10
1744,36.13448876404493,2014-10-11
1745,36.07492045454546,2014-10-12
1746,38.128163841807904,2014-10-13
1747,35.576499999999974,2014-10-14
1748,28.595683333333373,2014-10-15
1749,31.41118333333332,2014-10-16
1750,34.31089944134083,2014-10-17
1751,34.510415730337094,2014-10-18
1752,35.4551920903955,2014-10-19
1753,33.65311864406779,2014-10-20
1754,31.828327777777766,2014-10-21
1755,31.314525139664802,2014-10-22
1756,32.30550837988828,2014-10-23
1757,36.364642458100576,2014-10-24
1758,30.68573184357541,2014-10-25
1759,30.21469273743016,2014-10-26
1760,26.79463483146068,2014-10-27
1761,28.639039325842727,2014-10-28
1762,30.170055865921828,2014-10-29
1763,34.28632402234637,2014-10-30
1764,32.89225988700568,2014-10-31
1765,28.03965060240962,2014-11-01
1766,25.522168674698786,2014-11-02
1767,23.581363095238103,2014-11-03
1768,24.166946107784447,2014-11-04
1769,24.501437125748506,2014-11-05
1770,25.547934911242603,2014-11-06
1771,25.561452941176466,2014-11-07
1772,26.70726900584795,2014-11-08
1773,32.59196491228068,2014-11-09
1774,31.829309941520467,2014-11-10
1775,30.981766081871363,2014-11-11
1776,28.968094117647066,2014-11-12
1777,22.887426900584803,2014-11-13
1778,22.372274853801173,2014-11-14
1779,27.83945614035089,2014-11-15
1780,27.760818713450288,2014-11-16
1781,22.91392857142857,2014-11-17
1782,18.741761904761905,2014-11-18
1783,21.702964285714284,2014-11-19
1784,21.10268452380953,2014-11-20
1785,21.841413173652697,2014-11-21
1786,23.373413173652697,2014-11-22
1787,22.20413772455089,2014-11-23
1788,20.890748502994,2014-11-24
1789,17.919964285714293,2014-11-25
1790,17.294147928994075,2014-11-26
1791,20.995482142857128,2014-11-27
1792,25.08268452380952,2014-11-28
1793,27.9973373493976,2014-11-29
1794,23.276759036144576,2014-11-30
1795,15.653950310559,2014-12-01
1796,18.286416149068323,2014-12-02
1797,20.170599999999997,2014-12-03
1798,17.99627848101267,2014-12-04
1799,17.720626582278477,2014-12-05
1800,18.72081761006289,2014-12-06
1801,16.90801886792453,2014-12-07
1802,15.047182389937106,2014-12-08
1803,14.012698113207545,2014-12-09
1804,17.53785093167702,2014-12-10
1805,32.510253086419745,2014-12-11
1806,27.006720496894392,2014-12-12
1807,21.81201898734177,2014-12-13
1808,20.28918012422359,2014-12-14
1809,23.99142944785276,2014-12-15
1810,23.9357391304348,2014-12-16
1811,24.033779874213828,2014-12-17
1812,20.04603086419753,2014-12-18
1813,19.516080745341608,2014-12-19
1814,19.585881250000007,2014-12-20
1815,18.77269811320755,2014-12-21
1816,14.588364779874214,2014-12-22
1817,14.920237804878035,2014-12-23
1818,24.592810975609765,2014-12-24
1819,28.48529268292684,2014-12-25
1820,24.034274390243908,2014-12-26
1821,20.090981595092032,2014-12-27
1822,19.761331288343566,2014-12-28
1823,20.197822085889566,2014-12-29
1824,28.48932515337423,2014-12-30
1825,26.617500000000014,2014-12-31
1826,21.639496932515332,2015-01-01
1827,19.619846625766886,2015-01-02
1828,19.901265432098764,2015-01-03
1829,20.164882716049377,2015-01-04
1830,18.204748466257666,2015-01-05
1831,17.06390683229814,2015-01-06
1832,15.035362500000002,2015-01-07
1833,14.538679012345685,2015-01-08
1834,13.793312499999995,2015-01-09
1835,16.67916666666667,2015-01-10
1836,16.479487341772153,2015-01-11
